domain_acc,domain_loss,class_acc_source,class_loss_source,class_acc_target,class_loss_target
0.805908203125,0.06050598621368408,0.62646484375,0.060347191989421844,0.4208984375,2.7758343
0.924560546875,0.0395454466342926,0.93115234375,0.02323542907834053,0.4208984375,2.7758343
0.9521484375,0.02183809131383896,0.9501953125,0.014671566896140575,0.4208984375,2.7758343
0.961181640625,0.016014697030186653,0.9599609375,0.013469318859279156,0.4208984375,2.7758343
0.970458984375,0.010896001011133194,0.97119140625,0.011878580786287785,0.4208984375,2.7758343
0.974365234375,0.013680961914360523,0.9736328125,0.009504362009465694,0.4208984375,2.7758343
0.97705078125,0.018309088423848152,0.98095703125,0.0073289587162435055,0.4208984375,2.7758343
0.983154296875,0.011131972074508667,0.9833984375,0.005569836124777794,0.4208984375,2.7758343
0.984375,0.0061928932555019855,0.9892578125,0.00445161759853363,0.4208984375,2.7758343
0.98876953125,0.008399042300879955,0.98828125,0.004573529120534658,0.4208984375,2.7758343
0.98876953125,0.009323321282863617,0.9921875,0.005335517693310976,0.4208984375,2.7758343
0.990966796875,0.004476645030081272,0.98876953125,0.0068165515549480915,0.4208984375,2.7758343
0.993896484375,0.0078054191544651985,0.99609375,0.003622316988185048,0.4208984375,2.7758343
0.99462890625,0.004988724831491709,0.99365234375,0.003685795934870839,0.4208984375,2.7758343
0.994384765625,0.004071454051882029,0.994140625,0.0035955526400357485,0.4208984375,2.7758343
0.995361328125,0.002928012516349554,0.9970703125,0.0022672610357403755,0.4208984375,2.7758343
0.99365234375,0.003841975936666131,0.9970703125,0.002748242812231183,0.4208984375,2.7758343
0.9951171875,0.002772560343146324,0.99755859375,0.001649626879952848,0.4208984375,2.7758343
0.99755859375,0.004173496272414923,0.998046875,0.001355934888124466,0.4208984375,2.7758343
0.996337890625,0.0019494773587211967,0.998046875,0.003067220561206341,0.4208984375,2.7758343
0.997314453125,0.0023335800506174564,0.998046875,0.0017522829584777355,0.4208984375,2.7758343
0.996826171875,0.0019241180270910263,0.9990234375,0.0011656505521386862,0.4208984375,2.7758343
0.996826171875,0.0020920950919389725,0.99755859375,0.0021731725428253412,0.4208984375,2.7758343
0.99658203125,0.0013424679636955261,0.998046875,0.0018521130550652742,0.4208984375,2.7758343
0.99609375,0.002585997339338064,0.99951171875,0.0013057503383606672,0.4208984375,2.7758343
0.996826171875,0.002969447523355484,0.99951171875,0.001044062664732337,0.4208984375,2.7758343
0.9970703125,0.0028860047459602356,0.99853515625,0.001796848140656948,0.4208984375,2.7758343
0.99755859375,0.002009457675740123,0.99853515625,0.001627385150641203,0.4208984375,2.7758343
0.99658203125,0.003006462473422289,1.0,0.001446615788154304,0.4208984375,2.7758343
0.996826171875,0.004215282388031483,1.0,0.0011977176181972027,0.4208984375,2.7758343
